"","BP","STD"
"BBP_1",3705,40
"HAU_1",3586,24
"HPS_11",3619,20
"HPS_12",3621,20
"HPS_13",3662,24
"HPS_14",3707,24
"HPS_16",3638,24
"HPS_19",3635,20
"HPS_21",3631,24
"HPS_30",3639,20
"HPS_36",3559,24
"HPS_38",3581,23
"HPS_39",3602,25
"HPS_40",3534,23
"HPS_41",3648,19
"HPS_8",3631,20
"HUT_10",3573,19
"HUT_4_1",3558,23
"HUT_5",3566,11
"HUT_6",3570,19
"HUT_7",3597,24
"HUT_9",3612,25
"IMG_3",3484,42
"KGN_10",3469,28
"KGN_12",3454,28
"KGN_14",3552,27
"KGN_15_2",3531,34
"KGN_17",3492,33
"KGN_2",3616,28
"KGN_21",3486,27
"KGN_22",3504,33
"KGN_24_1",3459,34
"KGN_24_2",3478,33
"KGN_26",3489,34
"KGN_28_3",3554,24
"KGN_3",3477,28
"KGN_34",3433,28
"KGN_37",3470,27
"KGN_4",3493,28
"KGN_40",3508,34
"KGN_41",3594,37
"KGN_43_1",3456,34
"KGN_48",3480,34
"KGN_56",3563,28
"KGN_60_1",3422,28
"KOK_14",3626,22
"KOK_15",3614,19
"KOK_17",3623,23
"KOK_23",3664,24
"KOK_24",3609,22
"KOK_25",3599,22
"KOK_29",3621,23
"KOK_31",3567,23
"KOK_33_1",3599,22
"KOK_35",3575,25
"KOK_36",3603,23
"KOK_38",3562,24
"KOK_39",3600,24
"KOK_40",3602,24
"KOK_43",3615,24
"KOK_46",3625,23
"KOK_47",3581,23
"KOK_48",3618,22
"KOK_6",3601,19
"KOK_9",3608,23
"OKL_12",3124,36
"OKL_17",3283,32
"OKL_18",3310,37
"OKL_2",3132,42
"OKL_25_1",3370,38
"OKL_26_1",3288,27
"OKL_27",3449,72
"OKL_28",3295,28
"OKL_30",3349,29
"OKL_31",3225,36
"OKL_5",3360,37
"OKL_7",3207,37
"OKL_9",3241,28
"S_19",3700,30
"S_63",3712,29
"S_65",3620,22
"S_68",3537,22
"S_7",3662,21
"S_70",3604,29
"S_74",3632,21
"S_79",3688,29
"S_80",3641,29
"SMT_1",3540,20
"WHF_13",3544,19
"WHF_14_1",3810,19
"WHF_14_2",3523,18
"WHF_3",3594,19
"WHF_6",3598,18
"WHF_7",3613,20
"WHF_8",3550,19
"ASO_6",3441,24
"ASO_8",3583,23
"ASO_10",3475,21
