,BP,STD
BBP_1,3705,40
HAU_1,3586,24
HPS_11,3619,20
HPS_12,3621,20
HPS_13,3662,24
HPS_14,3707,24
HPS_16,3638,24
HPS_19,3635,20
HPS_21,3631,24
HPS_30,3639,20
HPS_36,3559,24
HPS_38,3581,23
HPS_39,3602,25
HPS_40,3534,23
HPS_41,3648,19
HPS_8,3631,20
HUT_10,3573,19
HUT_4_1,3558,23
HUT_5,3566,11
HUT_6,3570,19
HUT_7,3597,24
HUT_9,3612,25
IMG_3,3484,42
KGN_10,3469,28
KGN_12,3454,28
KGN_14,3552,27
KGN_15_2,3531,34
KGN_17,3492,33
KGN_2,3616,28
KGN_21,3486,27
KGN_22,3504,33
KGN_24_1,3459,34
KGN_24_2,3478,33
KGN_26,3489,34
KGN_28_3,3554,24
KGN_3,3477,28
KGN_34,3433,28
KGN_37,3470,27
KGN_4,3493,28
KGN_40,3508,34
KGN_41,3594,37
KGN_43_1,3456,34
KGN_48,3480,34
KGN_56,3563,28
KGN_60_1,3422,28
KOK_14,3626,22
KOK_15,3614,19
KOK_17,3623,23
KOK_23,3664,24
