"","gestreckte.Rueckenlage","Drahtring..Silber","Spiralanhaenger","Knochenscheibe","Geweihknoepfe","Knochenknopf","Spinnwirtel","Noppenring...gold","Fussspirale","Silexpfeilspitze","konisches.Spiralroehrchen","Blechröhrchen","Spiralohrring","Geweihring","Muschelring","Spiralfingerring","Knochenring.verziert","Zinnperlenhort","Zinnperle","Dreiringnadel","Lochhalsnadel.mit.doppelkonischem.Kopf","Knochennadel","Ruderkopfnadel.verziert","Ruderkopfnadel.unverziert","Anhänger.aus.Stein","Verzierte.Zierscheibe.mit.Mittelkegel","Brillenspirale","Diadem","Halsreif","Tutuli","Blechanhaenger","Oesenhalsreif","Blecharmreif","Sprialarmreif","Armring.mit.offenen.Enden","Armschutzplatte","Knochenring","Noppenring","Spiralttutulus","Randleistenbeil","Beinperle","Spiralroellchen","Rollenkopfnadel","Huelsenkopfnadel","Horkheimernadel","Oesenkopfnadel","Schleifenkopfnadel","Kugelkopfnadel..schräg.durchlocht","Scheibenkopfnadel","Armreif"
"BBP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0
"HAU_1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_13",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_14",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"HPS_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPS_30",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
